encode_time,decode_time,peak_enc_mem,peak_dec_mem,peak_delta_enc,peak_delta_dec,param_name,layer_type,shape,numel,bits_quant,raw_bytes,qstep,mse_quant,nmse_quant,mse_post,nmse_post,compressed_bytes,compression_ratio,compression_gain_pct,bits_per_element,decoded_equal,mode_used
5.2219999633962286e-05,4.1279999641119504e-05,468208844.8,468209664.0,12288.0,20480.0,layer1.1.bn2.bias,bias,"(64,)",64,16,128,1.1250987414429423e-05,6.774731817205115e-12,3.8916817775461086e-10,6.774731817205115e-12,3.8916817775461086e-10,130,0.9846153846153848,-1.5625,16.25,True,bypass
0.00011109999977632949,4.369999987829942e-05,468208025.6,468209664.0,6553.6,20480.0,layer1.1.bn2.weight,weight,"(64,)",64,8,64,0.002633925177636,5.497678330357303e-07,0.0004660468714966,5.497678330357303e-07,0.0004660468714966,66,0.9696969696969696,-3.125,8.25,True,bypass
5.4420000378740954e-05,2.868000010494143e-05,468208844.8,468207206.4,9830.4,18022.4,layer1.1.bn2.weight,weight,"(64,)",64,16,128,9.241230249253291e-06,6.534787468093217e-12,5.53964250433355e-09,6.534787468093217e-12,5.53964250433355e-09,130,0.9846153846153848,-1.5625,16.25,True,bypass
0.00014564000048265045,2.941999955510255e-05,468209664.0,468208025.6,20480.0,18841.6,layer1.1.bn3.bias,bias,"(256,)",256,8,256,0.0012355615030263,1.1349828810125473e-07,4.5967194713441634e-05,1.1349828810125473e-07,4.5967194713441634e-05,242,1.0578512396694215,5.46875,7.5625,True,regular
0.00018022000003834,6.622000000788237e-05,468208844.8,468209664.0,19660.8,20480.0,layer1.1.bn3.bias,bias,"(256,)",256,16,512,4.826741111399994e-06,1.7213962460321808e-12,6.971713648205585e-10,1.7213962460321808e-12,6.971713648205585e-10,507,1.009861932938856,0.9765625,15.84375,True,regular
0.00011968000035265246,3.0199999673641287e-05,468209664.0,468207206.4,20480.0,18022.4,layer1.1.bn3.weight,weight,"(256,)",256,8,256,0.0021554959217476,3.325933448650176e-07,7.190143188340822e-05,3.325933448650176e-07,7.190143188340822e-05,230,1.1130434782608696,10.15625,7.1875,True,regular
0.0001816400003008,7.036000024526392e-05,468208844.8,468208025.6,19660.8,18841.6,layer1.1.bn3.weight,weight,"(256,)",256,16,512,8.45305182779706e-06,5.267128747044048e-12,1.1386701047203134e-09,5.267128747044048e-12,1.1386701047203134e-09,499,1.0260521042084167,2.539062499999989,15.59375,True,regular
0.0032227200001215795,0.00089024000008062,467559219.2,467558400.0,20480.0,15564.8,layer1.1.conv1.weight,weight,"(64, 256, 1, 1)",16384,8,16384,0.00390625,1.080014499166282e-06,0.0011516456035515,1.080014499166282e-06,0.0011516456035515,9536,1.7181208053691277,41.796875,4.65625,True,regular
0.0033292600001004202,0.00094318000010384,467558400.0,467559219.2,19660.8,20480.0,layer1.1.conv1.weight,weight,"(64, 256, 1, 1)",16384,16,32768,0.00390625,1.080014499166282e-06,0.0011516456035515,1.080014499166282e-06,0.0011516456035515,9520,3.4420168067226893,70.947265625,4.6484375,True,regular
0.0072512399994593,0.0019584599995141,467558400.0,467559219.2,19660.8,20480.0,layer1.1.conv2.weight,weight,"(64, 64, 3, 3)",36864,8,36864,0.00390625,1.1956389016631874e-06,0.0014405025741606,1.2112691365473438e-06,0.0014593338396489,21453,1.7183610683820445,41.805013020833336,4.655598958333333,True,regular
0.0078444399998261,0.00198593999994042,467913932.8,467920486.4,19660.8,19660.8,layer1.1.conv2.weight,weight,"(64, 64, 3, 3)",36864,16,73728,0.00390625,1.1956389016631874e-06,0.0014405025741606,1.1956389016631874e-06,0.0014405025741606,21425,3.441213535589265,70.94048394097221,4.649522569444445,True,regular
0.0032100800006446203,0.00101630000062864,468208844.8,468209664.0,19660.8,20480.0,layer1.1.conv3.weight,weight,"(256, 64, 1, 1)",16384,8,16384,0.00390625,1.2442443448890117e-06,0.0011751268765937,1.2442443448890117e-06,0.0011751268765937,9454,1.733023059022636,42.29736328125,4.6162109375,True,regular
0.0033209199998963804,0.0009760999993886601,468208844.8,468208844.8,19660.8,19660.8,layer1.1.conv3.weight,weight,"(256, 64, 1, 1)",16384,16,32768,0.00390625,1.2442443448890117e-06,0.0011751268765937,1.2442443448890117e-06,0.0011751268765937,9444,3.469716221939856,71.17919921875,4.611328125,True,regular
6.409999987226911e-05,5.2660000073956324e-05,468208844.8,468209664.0,12288.0,20480.0,layer1.2.bn1.bias,bias,"(64,)",64,8,64,0.0017395464794714,1.9163231002039538e-07,2.080375598427379e-05,1.9163231002039538e-07,2.080375598427379e-05,66,0.9696969696969696,-3.125,8.25,True,bypass
3.608000006352086e-05,3.763999993680045e-05,468208025.6,468209664.0,14745.6,20480.0,layer1.2.bn1.bias,bias,"(64,)",64,16,128,5.963781102459216e-06,2.3357661291245613e-12,2.5357262865258685e-10,2.3357661291245613e-12,2.5357262865258685e-10,130,0.9846153846153848,-1.5625,16.25,True,bypass
6.052000026102178e-05,1.5560000247205607e-05,468208844.8,468209664.0,19660.8,20480.0,layer1.2.bn1.weight,weight,"(64,)",64,8,64,0.0019559651834676,2.635781868320919e-07,0.0003109544100549,2.635781868320919e-07,0.0003109544100549,65,0.9846153846153848,-1.5625,8.125,True,regular
4.613999954017345e-05,3.7579999479930847e-05,468208844.8,468208025.6,6553.6,18841.6,layer1.2.bn1.weight,weight,"(64,)",64,16,128,7.747097163685925e-06,4.409428551455097e-12,5.2019906137779855e-09,4.409428551455097e-12,5.2019906137779855e-09,130,0.9846153846153848,-1.5625,16.25,True,bypass
4.691999965871219e-05,1.863999968918506e-05,468809318.4,468809318.4,19660.8,19660.8,layer1.2.bn2.bias,bias,"(64,)",64,8,64,0.0027290153054801,5.24309029970027e-07,0.0001001194261044,5.24309029970027e-07,0.0001001194261044,66,0.9696969696969696,-3.125,8.25,True,regular
