encode_time;decode_time;peak_enc_mem;peak_dec_mem;peak_delta_enc;peak_delta_dec;param_name;layer_type;shape;numel;bits_quant;raw_bytes;qstep;mse_quant;nmse_quant;mse_post;nmse_post;compressed_bytes;compression_ratio;compression_gain_pct;bits_per_element;decoded_equal
0,00010602000002104002;3.668000026664231e-05;780392857,6;780392038,4;20480,0;19660,8;features.4.0.block.0.1.weight;weight;(240,);240;8;240;0,0235022743900391;4.5121425500838086e-05;9.750422122309828e-05;4.5121425500838086e-05;9.750422122309828e-05;225;1,0666666666666669;6,25;7,5;True
0,0001755400000547;6.522000003314452e-05;780392038,4;780392038,4;19660,8;19660,8;features.4.0.block.0.1.weight;weight;(240,);240;16;480;0,0001037440490537;7.853706018856599e-10;1.6971305329649855e-09;7.853706018856599e-10;1.6971305329649855e-09;474;1,0126582278481011;1,2500000000000069;15,8;True
0,00089557999963286;0,00028293999966986003;780392857,6;780392038,4;20480,0;19660,8;features.4.0.block.1.0.weight;weight;(240, 1, 3, 3);2160;8;2160;0,0043313719690809;1.5449653574250988e-06;4.8206558373838464e-05;1.5449653574250988e-06;4.8206558373838464e-05;1837;1,175830157866086;14,953703703703692;6,803703703703704;True
0,0016588999998930001;0,00042033999889093995;780390400,0;780392038,4;18022,4;19660,8;features.4.0.block.1.0.weight;weight;(240, 1, 3, 3);2160;16;4320;1.71341201538586e-05;2.3742811536275887e-11;7.408316469892226e-10;2.3742811536275887e-11;7.408316469892226e-10;4041;1,069042316258352;6,458333333333344;14,966666666666669;True
0,00015785999967190674;4.1679999776533803e-05;780392857,6;780392857,6;20480,0;20480,0;features.4.0.block.1.1.bias;bias;(240,);240;8;240;0,0451310853959037;0,000162857453688;6.915920782202403e-05;0,000162857453688;6.915920782202403e-05;235;1,0212765957446808;2,083333333333326;7,833333333333333;True
0,0001120200002333;0,00010819999952214317;780392857,6;780390400,0;13107,2;18022,4;features.4.0.block.1.1.bias;bias;(240,);240;16;480;0,0001748203066792;2.199263438029675e-09;9.33941393050504e-10;2.199263438029675e-09;9.33941393050504e-10;482;0,995850622406639;-0.4166666666666652;16,066666666666666;True
0,00011412000058040001;3.23799999023322e-05;780392038,4;780391219,2;19660,8;18841,6;features.4.0.block.1.1.weight;weight;(240,);240;8;240;0,026817102887605;5.419820809038356e-05;0,000244811371701;5.419820809038356e-05;0,000244811371701;202;1,188118811881188;15,833333333333332;6,733333333333333;True
0,00017718000053712;6.428000051527952e-05;780392038,4;780391219,2;19660,8;18841,6;features.4.0.block.1.1.weight;weight;(240,);240;16;480;0,0001037183038883;8.148421382081493e-10;3.680612857935931e-09;8.148421382081493e-10;3.680612857935931e-09;452;1,0619469026548674;5,833333333333346;15,066666666666666;True
2.3639999562874435e-05;9.960000170394778e-06;780396134,4;780396134,4;3276,8;19660,8;features.4.0.block.2.fc1.bias;bias;(10,);10;8;10;0,0035003960228065;5.006463652534876e-07;6.653764025879013e-06;5.006463652534876e-07;6.653764025879013e-06;12;0,8333333333333334;-20.0;9,6;True
1.7160000788862816e-05;8.340000567841343e-06;780396134,4;780396134,4;12288,0;19660,8;features.4.0.block.2.fc1.bias;bias;(10,);10;16;20;2.1257194381767304e-05;1.476248810694525e-11;1.961985926907212e-10;1.476248810694525e-11;1.961985926907212e-10;22;0,9090909090909092;-10.000000000000009;17,6;True
